classifier,base,top,base_rmse,sr_rmse,base_std,sr_std,train_rmse_base,train_rmse_top
xgb,gradient_boosting,random_forest,681669.6647698468,818024.7954844484,117441.95274694164,109821.71835900999,316817.36838980997,1299098.3977485497
xgb,xgb,lightgbm,797715.5457271275,818652.2449592553,144114.76071180342,138461.5731645986,233470.35245795004,245292.44152385526
catboost,random_forest,lightgbm,791190.0170562931,819019.7819372423,120913.45605716086,138012.8705574318,298351.22231750767,245292.44152385526
random_forest,random_forest,lightgbm,791190.0170562931,819092.1475576243,120913.45605716086,136546.75776730996,298351.22231750767,245292.44152385526
random_forest,xgb,lightgbm,797715.5457271275,819335.1081653356,144114.76071180342,139998.45907555654,233470.35245795004,245292.44152385526
gradient_boosting,xgb,lightgbm,797715.5457271275,819742.3691487748,144114.76071180342,137710.78807950814,233470.35245795004,245292.44152385526
gradient_boosting,gradient_boosting,random_forest,681669.6647698468,820614.7560693314,117441.95274694164,109608.7688540157,316817.36838980997,1299098.3977485497
catboost,gradient_boosting,random_forest,681669.6647698468,820629.4371528673,117441.95274694164,110235.7562136149,316817.36838980997,1299098.3977485497
catboost,xgb,lightgbm,797715.5457271275,821385.1085073301,144114.76071180342,139483.96511677903,233470.35245795004,245292.44152385526
lightgbm,gradient_boosting,lightgbm,681669.6647698468,824315.0328086868,117441.95274694164,133960.57024424002,316817.36838980997,245292.44152385526
xgb,gradient_boosting,lightgbm,681669.6647698468,825855.6335781245,117441.95274694164,134859.83602479254,316817.36838980997,245292.44152385526
gradient_boosting,gradient_boosting,lightgbm,681669.6647698468,826394.8845333062,117441.95274694164,133697.56204518693,316817.36838980997,245292.44152385526
random_forest,gradient_boosting,lightgbm,681669.6647698468,826586.8977034072,117441.95274694164,137276.208901065,316817.36838980997,245292.44152385526
catboost,gradient_boosting,lightgbm,681669.6647698468,828085.8607867418,117441.95274694164,135706.80955422437,316817.36838980997,245292.44152385526
